[2026-04-02 23:15:20] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings_backup.bin
[2026-04-02 23:56:06] Saving 2 values; 44 bytes
[2026-04-02 23:56:06] Saving 2 values; 44 bytes
[2026-04-02 23:56:06] Saving 2 values; 44 bytes
[2026-04-02 23:56:06] Saving 2 values; 44 bytes
[2026-04-02 23:56:07] Saving 2 values; 44 bytes
[2026-04-02 23:56:07] Saving 2 values; 44 bytes
[2026-04-02 23:56:07] Saving 2 values; 44 bytes
[2026-04-02 23:56:07] Saving 2 values; 44 bytes
[2026-04-02 23:56:07] Saving 2 values; 44 bytes
[2026-04-02 23:56:08] Saving 2 values; 44 bytes
[2026-04-02 23:56:08] Saving 2 values; 44 bytes
[2026-04-02 23:56:08] Saving 2 values; 44 bytes
[2026-04-02 23:56:08] Saving 2 values; 44 bytes
[2026-04-02 23:56:08] Saving 2 values; 44 bytes
[2026-04-02 23:56:09] Saving 2 values; 44 bytes
[2026-04-02 23:56:09] Saving 2 values; 44 bytes
[2026-04-02 23:56:09] Saving 2 values; 44 bytes
[2026-04-02 23:56:10] Saving 2 values; 44 bytes
[2026-04-02 23:56:10] Saving 2 values; 44 bytes
[2026-04-02 23:56:10] Saving 2 values; 44 bytes
[2026-04-02 23:56:10] Saving 2 values; 44 bytes
[2026-04-02 23:56:11] Saving 2 values; 44 bytes
[2026-04-02 23:56:11] Saving 2 values; 44 bytes
[2026-04-02 23:56:11] Saving 2 values; 44 bytes
[2026-04-02 23:56:11] Saving 2 values; 44 bytes
[2026-04-02 23:56:12] Saving 2 values; 44 bytes
[2026-04-02 23:56:12] Saving 2 values; 44 bytes
[2026-04-02 23:56:12] Saving 2 values; 44 bytes
[2026-04-02 23:56:12] Saving 2 values; 44 bytes
[2026-04-02 23:56:13] Saving 2 values; 44 bytes
[2026-04-02 23:56:13] Saving 2 values; 44 bytes
[2026-04-02 23:56:13] Saving 2 values; 44 bytes
[2026-04-02 23:56:13] Saving 2 values; 44 bytes
[2026-04-02 23:56:14] Saving 2 values; 44 bytes
[2026-04-02 23:56:14] Saving 2 values; 44 bytes
[2026-04-02 23:56:14] Saving 2 values; 44 bytes
[2026-04-02 23:56:14] Saving 2 values; 44 bytes
[2026-04-02 23:56:14] Saving 2 values; 44 bytes
[2026-04-02 23:56:15] Saving 2 values; 44 bytes
[2026-04-02 23:56:15] Saving 2 values; 44 bytes
[2026-04-02 23:56:15] Saving 2 values; 44 bytes
[2026-04-02 23:56:15] Saving 2 values; 44 bytes
[2026-04-02 23:56:16] Saving 2 values; 44 bytes
[2026-04-02 23:56:16] Saving 2 values; 44 bytes
[2026-04-02 23:56:16] Saving 2 values; 44 bytes
[2026-04-02 23:56:16] Saving 2 values; 44 bytes
[2026-04-02 23:56:17] Saving 2 values; 44 bytes
[2026-04-02 23:56:17] Saving 2 values; 44 bytes
[2026-04-02 23:56:17] Saving 2 values; 44 bytes
[2026-04-02 23:56:17] Saving 2 values; 44 bytes
[2026-04-02 23:56:18] Saving 2 values; 44 bytes
[2026-04-02 23:56:18] Saving 2 values; 44 bytes
[2026-04-02 23:56:18] Saving 2 values; 44 bytes
[2026-04-02 23:56:18] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:19] Saving 2 values; 44 bytes
[2026-04-02 23:56:20] Saving 2 values; 44 bytes
[2026-04-02 23:56:20] Saving 2 values; 44 bytes
[2026-04-02 23:56:20] Saving 2 values; 44 bytes
[2026-04-02 23:56:20] Saving 2 values; 44 bytes
[2026-04-02 23:56:21] Saving 2 values; 44 bytes
[2026-04-02 23:56:21] Saving 2 values; 44 bytes
[2026-04-02 23:56:21] Saving 2 values; 44 bytes
[2026-04-02 23:56:21] Saving 2 values; 44 bytes
[2026-04-02 23:56:22] Saving 2 values; 44 bytes
[2026-04-02 23:56:22] Saving 2 values; 44 bytes
[2026-04-02 23:56:22] Saving 2 values; 44 bytes
[2026-04-02 23:56:22] Saving 2 values; 44 bytes
[2026-04-02 23:56:23] Saving 2 values; 44 bytes
[2026-04-02 23:56:23] Saving 2 values; 44 bytes
[2026-04-02 23:56:23] Saving 2 values; 44 bytes
[2026-04-02 23:56:23] Saving 2 values; 44 bytes
[2026-04-02 23:56:24] Saving 2 values; 44 bytes
[2026-04-02 23:56:24] Saving 2 values; 44 bytes
[2026-04-02 23:56:24] Saving 2 values; 44 bytes
[2026-04-02 23:56:24] Saving 2 values; 44 bytes
[2026-04-02 23:56:25] Saving 2 values; 44 bytes
[2026-04-02 23:56:25] Saving 2 values; 44 bytes
[2026-04-02 23:56:25] Saving 2 values; 44 bytes
[2026-04-02 23:56:25] Saving 2 values; 44 bytes
[2026-04-02 23:56:26] Saving 2 values; 44 bytes
[2026-04-02 23:56:26] Saving 2 values; 44 bytes
[2026-04-02 23:56:26] Saving 2 values; 44 bytes
[2026-04-02 23:56:26] Saving 2 values; 44 bytes
[2026-04-02 23:56:27] Saving 2 values; 44 bytes
[2026-04-02 23:56:27] Saving 2 values; 44 bytes
[2026-04-02 23:56:27] Saving 2 values; 44 bytes
[2026-04-02 23:56:27] Saving 2 values; 44 bytes
[2026-04-02 23:56:28] Saving 2 values; 44 bytes
[2026-04-02 23:56:28] Saving 2 values; 44 bytes
[2026-04-02 23:56:28] Saving 2 values; 44 bytes
[2026-04-02 23:56:28] Saving 2 values; 44 bytes
[2026-04-02 23:56:29] Saving 2 values; 44 bytes
[2026-04-02 23:56:29] Saving 2 values; 44 bytes
[2026-04-02 23:56:29] Saving 2 values; 44 bytes
[2026-04-02 23:56:29] Saving 2 values; 44 bytes
[2026-04-02 23:56:30] Saving 2 values; 44 bytes
[2026-04-02 23:56:30] Saving 2 values; 44 bytes
[2026-04-02 23:56:30] Saving 2 values; 44 bytes
[2026-04-02 23:56:30] Saving 2 values; 44 bytes
[2026-04-02 23:56:31] Saving 2 values; 44 bytes
[2026-04-02 23:56:31] Saving 2 values; 44 bytes
[2026-04-02 23:56:31] Saving 2 values; 44 bytes
[2026-04-02 23:56:31] Saving 2 values; 44 bytes
[2026-04-02 23:56:32] Saving 2 values; 44 bytes
[2026-04-02 23:56:32] Saving 2 values; 44 bytes
[2026-04-02 23:56:32] Saving 2 values; 44 bytes
[2026-04-02 23:56:32] Saving 2 values; 44 bytes
[2026-04-02 23:56:33] Saving 2 values; 44 bytes
[2026-04-02 23:56:33] Saving 2 values; 44 bytes
[2026-04-02 23:56:33] Saving 2 values; 44 bytes
[2026-04-02 23:56:33] Saving 2 values; 44 bytes
[2026-04-02 23:56:34] Saving 2 values; 44 bytes
[2026-04-02 23:56:34] Saving 2 values; 44 bytes
[2026-04-02 23:56:34] Saving 2 values; 44 bytes
[2026-04-02 23:56:34] Saving 2 values; 44 bytes
[2026-04-02 23:56:35] Saving 2 values; 44 bytes
[2026-04-02 23:56:35] Saving 2 values; 44 bytes
[2026-04-02 23:56:35] Saving 2 values; 44 bytes
[2026-04-02 23:56:35] Saving 2 values; 44 bytes
[2026-04-02 23:56:36] Saving 2 values; 44 bytes
[2026-04-02 23:56:36] Saving 2 values; 44 bytes
[2026-04-02 23:56:36] Saving 2 values; 44 bytes
[2026-04-02 23:56:36] Saving 2 values; 44 bytes
[2026-04-02 23:56:37] Saving 2 values; 44 bytes
[2026-04-02 23:56:37] Saving 2 values; 44 bytes
[2026-04-02 23:56:37] Saving 2 values; 44 bytes
[2026-04-02 23:56:37] Saving 2 values; 44 bytes
[2026-04-02 23:56:38] Saving 2 values; 44 bytes
[2026-04-02 23:56:38] Saving 2 values; 44 bytes
[2026-04-02 23:56:38] Saving 2 values; 44 bytes
[2026-04-02 23:56:38] Saving 2 values; 44 bytes
[2026-04-02 23:56:39] Saving 2 values; 44 bytes
[2026-04-02 23:56:39] Saving 2 values; 44 bytes
[2026-04-02 23:56:39] Saving 2 values; 44 bytes
[2026-04-02 23:56:39] Saving 2 values; 44 bytes
[2026-04-02 23:56:40] Saving 2 values; 44 bytes
[2026-04-02 23:56:40] Saving 2 values; 44 bytes
[2026-04-02 23:56:40] Saving 2 values; 44 bytes
[2026-04-02 23:56:40] Saving 2 values; 44 bytes
[2026-04-02 23:56:41] Saving 2 values; 44 bytes
[2026-04-02 23:56:41] Saving 2 values; 44 bytes
[2026-04-02 23:56:41] Saving 2 values; 44 bytes
[2026-04-02 23:56:41] Saving 2 values; 44 bytes
[2026-04-02 23:56:42] Saving 2 values; 44 bytes
[2026-04-02 23:56:42] Saving 2 values; 44 bytes
[2026-04-02 23:56:42] Saving 2 values; 44 bytes
[2026-04-02 23:56:42] Saving 2 values; 44 bytes
[2026-04-02 23:56:43] Saving 2 values; 44 bytes
[2026-04-02 23:56:43] Saving 2 values; 44 bytes
[2026-04-02 23:56:43] Saving 2 values; 44 bytes
[2026-04-02 23:56:43] Saving 2 values; 44 bytes
[2026-04-02 23:56:44] Saving 2 values; 44 bytes
[2026-04-02 23:56:44] Saving 2 values; 44 bytes
[2026-04-02 23:56:44] Saving 2 values; 44 bytes
[2026-04-02 23:56:44] Saving 2 values; 44 bytes
[2026-04-02 23:56:45] Saving 2 values; 44 bytes
[2026-04-02 23:56:45] Saving 2 values; 44 bytes
[2026-04-02 23:56:45] Saving 2 values; 44 bytes
[2026-04-02 23:56:45] Saving 2 values; 44 bytes
[2026-04-02 23:56:45] Saving 2 values; 44 bytes
[2026-04-02 23:56:46] Saving 2 values; 44 bytes
[2026-04-02 23:56:46] Saving 2 values; 44 bytes
[2026-04-02 23:56:46] Saving 2 values; 44 bytes
[2026-04-02 23:56:46] Saving 2 values; 44 bytes
[2026-04-02 23:56:47] Saving 2 values; 44 bytes
[2026-04-02 23:56:47] Saving 2 values; 44 bytes
[2026-04-02 23:56:47] Saving 2 values; 44 bytes
[2026-04-02 23:56:47] Saving 2 values; 44 bytes
[2026-04-02 23:56:48] Saving 2 values; 44 bytes
[2026-04-02 23:56:48] Saving 2 values; 44 bytes
[2026-04-02 23:56:48] Saving 2 values; 44 bytes
[2026-04-02 23:56:48] Saving 2 values; 44 bytes
[2026-04-02 23:56:49] Saving 2 values; 44 bytes
[2026-04-02 23:56:49] Saving 2 values; 44 bytes
[2026-04-02 23:56:49] Saving 2 values; 44 bytes
[2026-04-02 23:56:50] Saving 2 values; 44 bytes
[2026-04-02 23:56:50] Saving 2 values; 44 bytes
[2026-04-02 23:56:50] Saving 2 values; 44 bytes
[2026-04-02 23:56:50] Saving 2 values; 44 bytes
[2026-04-02 23:56:51] Saving 2 values; 44 bytes
[2026-04-02 23:56:51] Saving 2 values; 44 bytes
[2026-04-02 23:56:51] Saving 2 values; 44 bytes
[2026-04-02 23:56:51] Saving 2 values; 44 bytes
[2026-04-02 23:56:52] Saving 2 values; 44 bytes
[2026-04-02 23:56:52] Saving 2 values; 44 bytes
[2026-04-02 23:56:52] Saving 2 values; 44 bytes
[2026-04-02 23:56:52] Saving 2 values; 44 bytes
[2026-04-02 23:56:52] Saving 2 values; 44 bytes
[2026-04-02 23:56:53] Saving 2 values; 44 bytes
[2026-04-02 23:56:53] Saving 2 values; 44 bytes
[2026-04-02 23:56:53] Saving 2 values; 44 bytes
[2026-04-02 23:56:53] Saving 2 values; 44 bytes
[2026-04-02 23:56:53] Saving 2 values; 44 bytes
[2026-04-02 23:56:54] Saving 2 values; 44 bytes
[2026-04-02 23:56:54] Saving 2 values; 44 bytes
[2026-04-02 23:56:54] Saving 2 values; 44 bytes
[2026-04-02 23:56:54] Saving 2 values; 44 bytes
[2026-04-02 23:56:55] Saving 2 values; 44 bytes
[2026-04-02 23:56:55] Saving 2 values; 44 bytes
[2026-04-02 23:56:55] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:56] Saving 2 values; 44 bytes
[2026-04-02 23:56:57] Saving 2 values; 44 bytes
[2026-04-02 23:56:57] Saving 2 values; 44 bytes
[2026-04-02 23:56:57] Saving 2 values; 44 bytes
[2026-04-02 23:56:57] Saving 2 values; 44 bytes
[2026-04-02 23:56:58] Saving 2 values; 44 bytes
[2026-04-02 23:56:58] Saving 2 values; 44 bytes
[2026-04-02 23:56:58] Saving 2 values; 44 bytes
[2026-04-02 23:56:58] Saving 2 values; 44 bytes
[2026-04-02 23:56:59] Saving 2 values; 44 bytes
[2026-04-02 23:56:59] Saving 2 values; 44 bytes
[2026-04-02 23:56:59] Saving 2 values; 44 bytes
[2026-04-02 23:56:59] Saving 2 values; 44 bytes
[2026-04-02 23:57:00] Saving 2 values; 44 bytes
[2026-04-02 23:57:00] Saving 2 values; 44 bytes
[2026-04-02 23:57:00] Saving 2 values; 44 bytes
[2026-04-02 23:57:00] Saving 2 values; 44 bytes
[2026-04-02 23:57:01] Saving 2 values; 44 bytes
[2026-04-02 23:57:01] Saving 2 values; 44 bytes
[2026-04-02 23:57:01] Saving 2 values; 44 bytes
[2026-04-02 23:57:01] Saving 2 values; 44 bytes
[2026-04-02 23:57:02] Saving 2 values; 44 bytes
[2026-04-02 23:57:02] Saving 2 values; 44 bytes
[2026-04-02 23:57:02] Saving 2 values; 44 bytes
[2026-04-02 23:57:02] Saving 2 values; 44 bytes
[2026-04-02 23:57:03] Saving 2 values; 44 bytes
[2026-04-02 23:57:03] Saving 2 values; 44 bytes
[2026-04-02 23:57:03] Saving 2 values; 44 bytes
[2026-04-02 23:57:03] Saving 2 values; 44 bytes
[2026-04-02 23:57:04] Saving 2 values; 44 bytes
[2026-04-02 23:57:04] Saving 2 values; 44 bytes
[2026-04-02 23:57:04] Saving 2 values; 44 bytes
[2026-04-02 23:57:04] Saving 2 values; 44 bytes
[2026-04-02 23:57:05] Saving 2 values; 44 bytes
[2026-04-02 23:57:05] Saving 2 values; 44 bytes
[2026-04-02 23:57:05] Saving 2 values; 44 bytes
[2026-04-02 23:57:05] Saving 2 values; 44 bytes
[2026-04-02 23:57:06] Saving 2 values; 44 bytes
[2026-04-02 23:57:06] Saving 2 values; 44 bytes
[2026-04-02 23:57:06] Saving 2 values; 44 bytes
[2026-04-02 23:57:06] Saving 2 values; 44 bytes
