[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 09:06:16] Saving 2 values; 44 bytes
[2026-04-03 09:06:17] Saving 2 values; 44 bytes
[2026-04-03 09:06:17] Saving 2 values; 44 bytes
[2026-04-03 09:06:17] Saving 2 values; 44 bytes
[2026-04-03 09:06:17] Saving 2 values; 44 bytes
[2026-04-03 09:06:17] Saving 2 values; 44 bytes
[2026-04-03 09:06:18] Saving 2 values; 44 bytes
[2026-04-03 09:06:19] Saving 2 values; 44 bytes
[2026-04-03 09:06:19] Saving 2 values; 44 bytes
[2026-04-03 09:06:19] Saving 2 values; 44 bytes
[2026-04-03 09:06:20] Saving 2 values; 44 bytes
[2026-04-03 09:06:20] Saving 2 values; 44 bytes
[2026-04-03 09:48:31] Loaded 2 values
[2026-04-03 09:48:31] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 09:48:35] Saving 2 values; 44 bytes
[2026-04-03 09:48:42] Saving 2 values; 44 bytes
[2026-04-03 09:48:44] Saving 2 values; 44 bytes
[2026-04-03 09:48:47] Saving 2 values; 44 bytes
[2026-04-03 09:48:48] Saving 2 values; 44 bytes
[2026-04-03 09:48:48] Saving 2 values; 44 bytes
[2026-04-03 09:48:49] Saving 2 values; 44 bytes
[2026-04-03 09:48:49] Saving 2 values; 44 bytes
[2026-04-03 09:48:49] Saving 2 values; 44 bytes
[2026-04-03 09:48:50] Saving 2 values; 44 bytes
[2026-04-03 09:48:50] Saving 2 values; 44 bytes
[2026-04-03 09:48:51] Saving 2 values; 44 bytes
[2026-04-03 09:48:51] Saving 2 values; 44 bytes
[2026-04-03 09:48:52] Saving 2 values; 44 bytes
[2026-04-03 09:48:52] Saving 2 values; 44 bytes
[2026-04-03 09:48:53] Saving 2 values; 44 bytes
[2026-04-03 09:48:53] Saving 2 values; 44 bytes
[2026-04-03 09:48:54] Saving 2 values; 44 bytes
[2026-04-03 09:48:54] Saving 2 values; 44 bytes
[2026-04-03 09:48:55] Saving 2 values; 44 bytes
[2026-04-03 09:48:55] Saving 2 values; 44 bytes
[2026-04-03 09:48:55] Saving 2 values; 44 bytes
[2026-04-03 09:48:56] Saving 2 values; 44 bytes
[2026-04-03 09:48:56] Saving 2 values; 44 bytes
[2026-04-03 09:48:56] Saving 2 values; 44 bytes
[2026-04-03 09:48:57] Saving 2 values; 44 bytes
[2026-04-03 09:48:57] Saving 2 values; 44 bytes
[2026-04-03 09:48:58] Saving 2 values; 44 bytes
[2026-04-03 09:48:58] Saving 2 values; 44 bytes
[2026-04-03 09:48:58] Saving 2 values; 44 bytes
[2026-04-03 09:48:59] Saving 2 values; 44 bytes
[2026-04-03 09:48:59] Saving 2 values; 44 bytes
[2026-04-03 09:48:59] Saving 2 values; 44 bytes
[2026-04-03 09:49:00] Saving 2 values; 44 bytes
[2026-04-03 09:49:00] Saving 2 values; 44 bytes
[2026-04-03 09:49:00] Saving 2 values; 44 bytes
[2026-04-03 09:49:00] Saving 2 values; 44 bytes
[2026-04-03 09:49:01] Saving 2 values; 44 bytes
[2026-04-03 09:49:01] Saving 2 values; 44 bytes
[2026-04-03 09:49:01] Saving 2 values; 44 bytes
[2026-04-03 09:49:02] Saving 2 values; 44 bytes
[2026-04-03 09:49:02] Saving 2 values; 44 bytes
[2026-04-03 09:49:02] Saving 2 values; 44 bytes
[2026-04-03 09:49:03] Saving 2 values; 44 bytes
[2026-04-03 09:49:03] Saving 2 values; 44 bytes
[2026-04-03 09:49:04] Saving 2 values; 44 bytes
[2026-04-03 09:49:04] Saving 2 values; 44 bytes
[2026-04-03 09:49:05] Saving 2 values; 44 bytes
[2026-04-03 09:49:05] Saving 2 values; 44 bytes
[2026-04-03 09:54:17] Loaded 2 values
[2026-04-03 09:54:17] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 09:54:22] Saving 2 values; 44 bytes
[2026-04-03 09:54:28] Saving 2 values; 44 bytes
[2026-04-03 09:54:29] Saving 2 values; 44 bytes
[2026-04-03 09:54:36] Saving 2 values; 44 bytes
[2026-04-03 09:54:38] Saving 2 values; 44 bytes
[2026-04-03 09:54:38] Saving 2 values; 44 bytes
[2026-04-03 09:54:39] Saving 2 values; 44 bytes
[2026-04-03 09:54:39] Saving 2 values; 44 bytes
[2026-04-03 09:54:40] Saving 2 values; 44 bytes
[2026-04-03 09:54:40] Saving 2 values; 44 bytes
[2026-04-03 09:54:40] Saving 2 values; 44 bytes
[2026-04-03 09:54:40] Saving 2 values; 44 bytes
[2026-04-03 09:54:41] Saving 2 values; 44 bytes
[2026-04-03 09:54:41] Saving 2 values; 44 bytes
[2026-04-03 09:54:41] Saving 2 values; 44 bytes
[2026-04-03 09:54:41] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:42] Saving 2 values; 44 bytes
[2026-04-03 09:54:43] Saving 2 values; 44 bytes
[2026-04-03 09:54:43] Saving 2 values; 44 bytes
[2026-04-03 09:54:43] Saving 2 values; 44 bytes
[2026-04-03 09:54:43] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:44] Saving 2 values; 44 bytes
[2026-04-03 09:54:45] Saving 2 values; 44 bytes
[2026-04-03 09:54:45] Saving 2 values; 44 bytes
[2026-04-03 09:54:45] Saving 2 values; 44 bytes
[2026-04-03 09:54:45] Saving 2 values; 44 bytes
[2026-04-03 09:54:45] Saving 2 values; 44 bytes
[2026-04-03 09:54:46] Saving 2 values; 44 bytes
[2026-04-03 09:54:46] Saving 2 values; 44 bytes
[2026-04-03 09:54:46] Saving 2 values; 44 bytes
[2026-04-03 09:54:47] Saving 2 values; 44 bytes
[2026-04-03 09:54:56] Saving 2 values; 44 bytes
[2026-04-03 09:54:56] Saving 2 values; 44 bytes
[2026-04-03 09:54:56] Saving 2 values; 44 bytes
[2026-04-03 09:54:56] Saving 2 values; 44 bytes
[2026-04-03 09:54:57] Saving 2 values; 44 bytes
[2026-04-03 09:54:57] Saving 2 values; 44 bytes
[2026-04-03 09:54:57] Saving 2 values; 44 bytes
[2026-04-03 09:54:57] Saving 2 values; 44 bytes
[2026-04-03 09:54:57] Saving 2 values; 44 bytes
[2026-04-03 09:54:58] Saving 2 values; 44 bytes
[2026-04-03 09:54:58] Saving 2 values; 44 bytes
[2026-04-03 09:54:58] Saving 2 values; 44 bytes
[2026-04-03 09:54:58] Saving 2 values; 44 bytes
[2026-04-03 09:54:59] Saving 2 values; 44 bytes
[2026-04-03 09:54:59] Saving 2 values; 44 bytes
[2026-04-03 09:54:59] Saving 2 values; 44 bytes
[2026-04-03 09:54:59] Saving 2 values; 44 bytes
[2026-04-03 09:55:00] Saving 2 values; 44 bytes
[2026-04-03 09:55:00] Saving 2 values; 44 bytes
[2026-04-03 09:55:00] Saving 2 values; 44 bytes
[2026-04-03 09:55:00] Saving 2 values; 44 bytes
[2026-04-03 09:55:01] Saving 2 values; 44 bytes
[2026-04-03 09:55:01] Saving 2 values; 44 bytes
[2026-04-03 09:55:01] Saving 2 values; 44 bytes
[2026-04-03 09:55:01] Saving 2 values; 44 bytes
[2026-04-03 09:55:05] Saving 2 values; 44 bytes
[2026-04-03 09:55:05] Saving 2 values; 44 bytes
[2026-04-03 09:55:06] Saving 2 values; 44 bytes
[2026-04-03 09:55:06] Saving 2 values; 44 bytes
[2026-04-03 09:55:06] Saving 2 values; 44 bytes
[2026-04-03 09:55:06] Saving 2 values; 44 bytes
[2026-04-03 09:55:06] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:07] Saving 2 values; 44 bytes
[2026-04-03 09:55:08] Saving 2 values; 44 bytes
[2026-04-03 09:55:08] Saving 2 values; 44 bytes
[2026-04-03 09:55:08] Saving 2 values; 44 bytes
[2026-04-03 09:55:08] Saving 2 values; 44 bytes
[2026-04-03 09:55:09] Saving 2 values; 44 bytes
[2026-04-03 09:55:09] Saving 2 values; 44 bytes
[2026-04-03 09:55:09] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
[2026-04-03 09:55:10] Saving 2 values; 44 bytes
