[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_1/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_1/config/settings_backup.bin
[2026-04-03 02:11:52] Saving 2 values; 44 bytes
[2026-04-03 06:57:33] Loaded 2 values
[2026-04-03 06:57:33] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 06:57:36] Saving 2 values; 44 bytes
[2026-04-03 09:05:10] Loaded 2 values
[2026-04-03 09:05:10] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 09:05:14] Saving 2 values; 44 bytes
[2026-04-03 09:05:22] Saving 2 values; 44 bytes
[2026-04-03 09:05:23] Saving 2 values; 44 bytes
[2026-04-03 09:05:27] Saving 2 values; 44 bytes
[2026-04-03 09:05:28] Saving 2 values; 44 bytes
[2026-04-03 09:05:28] Saving 2 values; 44 bytes
[2026-04-03 09:05:30] Saving 2 values; 44 bytes
[2026-04-03 09:05:38] Saving 2 values; 44 bytes
[2026-04-03 09:05:38] Saving 2 values; 44 bytes
[2026-04-03 09:05:38] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:41] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:42] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:45] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:46] Saving 2 values; 44 bytes
[2026-04-03 09:05:47] Saving 2 values; 44 bytes
[2026-04-03 09:05:47] Saving 2 values; 44 bytes
[2026-04-03 09:05:47] Saving 2 values; 44 bytes
[2026-04-03 09:05:47] Saving 2 values; 44 bytes
[2026-04-03 09:05:48] Saving 2 values; 44 bytes
[2026-04-03 09:05:48] Saving 2 values; 44 bytes
[2026-04-03 09:05:48] Saving 2 values; 44 bytes
[2026-04-03 09:05:48] Saving 2 values; 44 bytes
[2026-04-03 09:05:48] Saving 2 values; 44 bytes
[2026-04-03 09:05:49] Saving 2 values; 44 bytes
[2026-04-03 09:05:49] Saving 2 values; 44 bytes
[2026-04-03 09:05:49] Saving 2 values; 44 bytes
[2026-04-03 09:05:50] Saving 2 values; 44 bytes
[2026-04-03 09:05:50] Saving 2 values; 44 bytes
[2026-04-03 09:05:50] Saving 2 values; 44 bytes
[2026-04-03 09:05:51] Saving 2 values; 44 bytes
[2026-04-03 09:05:51] Saving 2 values; 44 bytes
[2026-04-03 09:05:51] Saving 2 values; 44 bytes
[2026-04-03 09:05:51] Saving 2 values; 44 bytes
[2026-04-03 09:05:52] Saving 2 values; 44 bytes
[2026-04-03 09:05:52] Saving 2 values; 44 bytes
[2026-04-03 09:05:52] Saving 2 values; 44 bytes
